Time,JointPositionX,JointPositionY,JointPositionZ,Angle,AngularVelocity,AngularAcceleration
0,0.08207826,-11.5327,-0.02742776,12.14191,0,0
0.033,0.08061942,-11.56028,-0.04461136,12.14191,0,0
0.066,0.1595028,-11.25482,0.1704929,12.14191,0,0
0.099,0.1495987,-11.16529,0.2399574,12.14189,0,0
0.132,0.1788903,-11.11733,0.1794426,12.14191,0,0
0.165,0.1945926,-11.04842,0.1777293,12.14191,0,0
0.198,0.2130149,-10.97968,0.1289794,12.14189,0,0
0.231,0.2351479,-10.93086,0.08759246,12.14191,0,0
0.264,0.2538067,-10.89515,0.0125853,12.14189,0,0
0.297,0.2894357,-10.81533,-0.06962753,12.14191,0,0
0.33,0.3238258,-10.75232,-0.1635419,12.14191,0,0
0.363,0.3353144,-10.6901,-0.2299334,12.14191,0,0
0.396,5.479291,-14.11952,1.463484,12.14192,0,0
0.429,5.421849,-14.10564,1.520101,12.14191,0,0
0.462,5.248872,-14.34064,1.566419,12.14189,0,0
0.495,5.213978,-14.33711,1.606886,12.14192,0,0
0.528,5.102803,-14.44001,1.63796,12.14192,0,0
0.561,4.999579,-14.47759,1.697891,12.14186,0,0
0.594,4.967572,-14.56545,1.692707,12.14194,0,0
0.627,1.424567,-10.65518,-0.1670137,12.14191,0,0
0.66,1.012413,-10.06161,-0.4163994,12.14191,0,0
0.693,1.084821,-10.01375,-0.3636846,12.14191,0,0
0.726,1.174688,-9.995289,-0.3181975,12.14191,0,0
0.759,1.264855,-9.945496,-0.2668697,12.14187,0,0
0.792,1.341568,-9.917103,-0.2391186,12.14189,0,0
0.825,1.364914,-9.895929,-0.2319963,12.14189,0,0
0.858,1.401813,-9.875133,-0.1881782,12.14191,0,0
0.891,1.412884,-9.848849,-0.1676073,12.14191,0,0
0.924,1.420244,-9.836257,-0.1216452,12.14192,0,0
0.957,1.522358,-9.738747,-0.03551733,12.14191,0,0
0.99,1.564229,-9.742377,-0.01221169,12.14191,0,0
1.023,1.554327,-9.70943,-0.06926686,12.14191,0,0
1.056,1.594641,-9.662058,-0.06441306,12.14191,0,0
1.089,1.604889,-9.618087,-0.05031203,12.14189,0,0
1.122,1.611427,-9.629134,-0.05343872,12.14189,0,0
1.155,1.659119,-9.59308,-0.01751178,12.14191,0,0
1.188,1.711904,-9.528878,0.01907431,12.14191,0,0
